metabolite_number,dilution_factor,dilution_factor_original,injection_volume,log_injection_quantity,chromatogram_number,replicate,internal_standard,intensity,log_intensity,log_intensity_factor,normalized_intensity,log_normalized_intensity,log_normalized_intensity_factor,condition,metabolite_code,chromatogram_name,ionization_mode,ionization_code,retention_time,observation_number
1001,0.25,0.25,2,-0.6931471805599453,1,1,3422082.178,326876.7981,12.697338614665735,13.39048579522568,0.0955198563615558,-2.348421133091532,-1.655273952531587,1,X315.108224422026.1.44374652777771,025dil_rep1_2ul_1_pos,positive,1,1.44374652777771,1
1001,0.25,0.25,2,-0.6931471805599453,4,1,2918676.669,282978.7095,12.553126942346584,13.246274122906529,0.09695445627999433,-2.3335139336257957,-1.6403667530658503,1,X315.108224422026.1.44374652777771,025dil_rep1_2ul_2_pos,positive,1,1.44374652777771,2
1001,0.25,0.25,2,-0.6931471805599453,7,1,2825674.401,245561.2396,12.41130164358212,13.104448824142066,0.08690358645465182,-2.4429559765077355,-1.7498087959477904,1,X315.108224422026.1.44374652777771,025dil_rep1_2ul_3_pos,positive,1,1.44374652777771,3
1001,0.25,0.25,2,-0.6931471805599453,10,1,2465552.83,199785.3152,12.20499864499802,12.898145825557965,0.08103063652462884,-2.51292796712102,-1.819780786561075,1,X315.108224422026.1.44374652777771,025dil_rep1_2ul_4_pos,positive,1,1.44374652777771,4
1001,0.25,0.25,2,-0.6931471805599453,13,2,3991437.206,400125.8502,12.899534402105896,13.592681582665842,0.10024605913842854,-2.300127523907995,-1.6069803433480496,1,X315.108224422026.1.44374652777771,025dil_rep2_2ul_1_pos,positive,1,1.44374652777771,5
1001,0.25,0.25,2,-0.6931471805599453,16,2,3118320.63,303388.8329,12.622770538693153,13.315917719253099,0.09729237910342786,-2.3300346165634167,-1.6368874360034713,1,X315.108224422026.1.44374652777771,025dil_rep2_2ul_2_pos,positive,1,1.44374652777771,6
1001,0.25,0.25,2,-0.6931471805599453,19,2,2716128.757,257331.0265,12.458118575920384,13.15126575648033,0.09474183646000107,-2.3565995974649763,-1.6634524169050309,1,X315.108224422026.1.44374652777771,025dil_rep2_2ul_3_pos,positive,1,1.44374652777771,7
1001,0.25,0.25,2,-0.6931471805599453,22,2,2554636.381,10179.65015,9.22814592310926,9.921293103669205,0.003984774594815417,-5.525274531748658,-4.832127351188713,1,X315.108224422026.1.44374652777771,025dil_rep2_2ul_4_pos,positive,1,1.44374652777771,8
1001,0.25,0.25,5,0.22314355131420976,2,1,7021195.686,97679.5179,11.48944717326872,11.266303621954512,0.01391209165338737,-4.274996913870533,-4.4981404651847425,2,X315.108224422026.1.44374652777771,025dil_rep1_5ul_1_pos,positive,1,1.44374652777771,9
1001,0.25,0.25,5,0.22314355131420976,5,1,5906657.275,299505.0929,12.60988670106752,12.386743149753311,0.05070636046002855,-2.981703923393028,-3.2048474747072375,2,X315.108224422026.1.44374652777771,025dil_rep1_5ul_2_pos,positive,1,1.44374652777771,10
1001,0.25,0.25,5,0.22314355131420976,8,1,5760248.959,288596.7131,12.572785536137163,12.349641984822952,0.050101430537839366,-2.9937057176494775,-3.216849268963687,2,X315.108224422026.1.44374652777771,025dil_rep1_5ul_3_pos,positive,1,1.44374652777771,11
1001,0.25,0.25,5,0.22314355131420976,11,1,4689691.905,24866.77052,10.121287673922527,9.898144122608318,0.005302431593318068,-5.239589772444472,-5.462733323758682,2,X315.108224422026.1.44374652777771,025dil_rep1_5ul_4_pos,positive,1,1.44374652777771,12
1001,0.25,0.25,5,0.22314355131420976,14,2,9209727.224,119506.1108,11.691122785447956,11.467979234133745,0.012976074957852628,-4.344648004972511,-4.56779155628672,2,X315.108224422026.1.44374652777771,025dil_rep2_5ul_1_pos,positive,1,1.44374652777771,13
1001,0.25,0.25,5,0.22314355131420976,17,2,6385300.932,44042.84453,10.692918178441982,10.469774627127773,0.0068975362318914124,-4.976590998984649,-5.199734550298858,2,X315.108224422026.1.44374652777771,025dil_rep2_5ul_2_pos,positive,1,1.44374652777771,14
1001,0.25,0.25,5,0.22314355131420976,20,2,5761155.578,43012.68394,10.669250326527862,10.446106775213652,0.007465982016568275,-4.89739830720303,-5.12054185851724,2,X315.108224422026.1.44374652777771,025dil_rep2_5ul_3_pos,positive,1,1.44374652777771,15
1001,0.25,0.25,5,0.22314355131420976,23,2,4802765.197,30168.59395,10.31455672682447,10.09141317551026,0.006281505073128396,-5.07014566589004,-5.29328921720425,2,X315.108224422026.1.44374652777771,025dil_rep2_5ul_4_pos,positive,1,1.44374652777771,16
1001,0.25,0.25,10,0.9162907318741551,3,1,10964223.72,218997.6111,12.296816100519965,11.38052536864581,0.01997383642405283,-3.913332040638363,-4.8296227725125185,3,X315.108224422026.1.44374652777771,025dil_rep1_10ul_1_pos,positive,1,1.44374652777771,17
1001,0.25,0.25,10,0.9162907318741551,6,1,7164694.427,88832.78298,11.394511038553643,10.47822030667949,0.012398684114878024,-4.3901649317701485,-5.306455663644303,3,X315.108224422026.1.44374652777771,025dil_rep1_10ul_2_pos,positive,1,1.44374652777771,18
1001,0.25,0.25,10,0.9162907318741551,9,1,9447993.128,329993.5552,12.706828403554987,11.79053767168083,0.034927370366309184,-3.354484505954381,-4.270775237828536,3,X315.108224422026.1.44374652777771,025dil_rep1_10ul_3_pos,positive,1,1.44374652777771,19
1001,0.25,0.25,10,0.9162907318741551,12,1,7715486.748,111301.8447,11.620001111250277,10.70371037937612,0.014425770963685674,-4.2387390216601535,-5.155029753534309,3,X315.108224422026.1.44374652777771,025dil_rep1_10ul_4_pos,positive,1,1.44374652777771,20
1001,0.25,0.25,10,0.9162907318741551,15,2,12112193.26,407648.6281,12.918160876698419,12.001870144824265,0.03365605380870549,-3.3915623339102687,-4.307853065784424,3,X315.108224422026.1.44374652777771,025dil_rep2_10ul_1_pos,positive,1,1.44374652777771,21
1001,0.25,0.25,10,0.9162907318741551,18,2,11054700.51,389081.9873,12.871545364660268,11.955254632786113,0.03519606767709711,-3.34682091633736,-4.263111648211515,3,X315.108224422026.1.44374652777771,025dil_rep2_10ul_2_pos,positive,1,1.44374652777771,22
1001,0.25,0.25,10,0.9162907318741551,21,2,10157361.99,127829.15,11.75844988568365,10.842159153809495,0.012584876873133867,-4.375259434063388,-5.291550165937543,3,X315.108224422026.1.44374652777771,025dil_rep2_10ul_3_pos,positive,1,1.44374652777771,23
