"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-6.89e+03","-6.9e+03","75.8","  76","(-7.02e+03, -6.77e+03)","1.49e+03","2.18e+03","   1"
"2","mean_metabolite","  11","  11","0.048","0.048","(10.9, 11.1)","4.95e+03","3.45e+03","   1"
"3","mean_dilution","1.09","1.09","0.0161","0.0164","(1.06, 1.11)","4.28e+03","3.22e+03","   1"
"4","mean_injection","0.753","0.753","0.00951","0.00948","(0.738, 0.769)","4.32e+03","3.58e+03","   1"
"5","mean_dilution_injection_interaction","-0.0901","-0.09","0.00886","0.00885","(-0.105, -0.0755)","3.8e+03","3.33e+03","   1"
"6","mean_sigma_dilution","-0.286","-0.286","0.0198","0.0197","(-0.318, -0.253)","5.91e+03","3.37e+03","   1"
"7","mean_sigma_injection","-0.0559","-0.0561","0.0131","0.0129","(-0.0769, -0.0338)","3.69e+03","3.3e+03","   1"
"8","mean_sigma_dilution_injection_interaction","0.498","0.498","0.0211","0.0208","(0.463, 0.532)","4.11e+03","3.22e+03","   1"
"9","mean_log_sigma","-1.68","-1.68","0.0207","0.0211","(-1.71, -1.65)","5e+03","3.49e+03","   1"
"10","dmean_metabolite","0.956","0.958","0.119","0.12","(0.759, 1.15)","5.08e+03","3.14e+03","   1"
"11","dmean_dilution","-0.589","-0.589","0.0398","0.0397","(-0.654, -0.522)","4.33e+03","3.14e+03","   1"
"12","dmean_injection","-0.225","-0.225","0.0236","0.0235","(-0.264, -0.187)","4.48e+03","3.43e+03","   1"
"13","dmean_dilution_injection_interaction","0.054","0.0538","0.0211","0.0212","(0.0195, 0.0892)","4.32e+03","3.07e+03","   1"
"14","dmean_sigma_dilution","-0.361","-0.361","0.0472","0.0468","(-0.438, -0.283)","5.37e+03","3.67e+03","   1"
"15","dmean_sigma_injection","0.039","0.0398","0.0318","0.0315","(-0.0135, 0.0909)","4.06e+03","3.22e+03","   1"
"16","dmean_sigma_dilution_injection_interaction","-0.252","-0.253","0.0425","0.0429","(-0.322, -0.182)","5.62e+03","3.41e+03","   1"
"17","dmean_log_sigma","0.102","0.102","0.0505","0.0495","(0.02, 0.187)","4.79e+03","3.23e+03","   1"
"18","sd_metabolite","1.48","1.47","0.0312","0.0314","(1.42, 1.53)","7.19e+03","3.17e+03","   1"
"19","sd_dilution","0.468","0.468","0.0104","0.0104","(0.451, 0.485)","4.79e+03","3.67e+03","   1"
"20","sd_injection","0.276","0.276","0.00654","0.00655","(0.265, 0.287)","3.39e+03","3.46e+03","   1"
"21","sd_dilution_injection_interaction","0.241","0.241","0.00728","0.00725","(0.229, 0.253)","1.75e+03","2.78e+03","   1"
"22","sd_sigma_dilution","0.55","0.549","0.0142","0.0144","(0.527, 0.574)","5.3e+03","3.24e+03","   1"
"23","sd_sigma_injection","0.343","0.343","0.00962","0.00952","(0.328, 0.36)","3.92e+03","3.34e+03","   1"
"24","sd_sigma_dilution_injection_interaction","0.589","0.589","0.0157","0.0158","(0.564, 0.616)","3.05e+03","3.33e+03","   1"
"25","sd_log_sigma","0.619","0.619","0.014","0.014","(0.596, 0.643)","4.99e+03","2.85e+03","   1"
"26","rho_di[2,1]","0.712","0.712","0.0163","0.0165","(0.684, 0.739)","3.94e+03","3.3e+03","   1"
"27","rho_ms[2,1]","-0.482","-0.482","0.024","0.0235","(-0.521, -0.442)","5.37e+03","3.22e+03","   1"
