"","parameter","mean","median","sd","mad","90% CI","ess_bulk","ess_tail","rhat"
"1","lp__","-7.64e+03","-7.64e+03","74.4","74.9","(-7.76e+03, -7.52e+03)","1.16e+03","1.87e+03","   1"
"2","mean_metabolite","11.2","11.2","0.0474","0.0463","(11.1, 11.3)","1.09e+04","2.75e+03","   1"
"3","mean_dilution","0.987","0.987","0.0153","0.016","(0.962, 1.01)","1.01e+04","2.96e+03","   1"
"4","mean_injection","0.711","0.711","0.00862","0.00856","(0.697, 0.725)","8.87e+03","2.92e+03","1.01"
"5","mean_dilution_injection_interaction","-0.0743","-0.0743","0.00782","0.00792","(-0.0868, -0.0613)","6.76e+03","3.25e+03","   1"
"6","mean_sigma_dilution","-0.351","-0.351","0.0188","0.0183","(-0.382, -0.32)","7.84e+03","2.95e+03","   1"
"7","mean_sigma_injection","-0.0504","-0.0504","0.0121","0.0123","(-0.07, -0.0305)","6.88e+03","3.35e+03","   1"
"8","mean_sigma_dilution_injection_interaction","0.46","0.46","0.0196","0.0202","(0.428, 0.493)","5.86e+03","3.55e+03","   1"
"9","mean_log_sigma","-1.66","-1.66","0.0194","0.0195","(-1.69, -1.63)","1.01e+04","2.57e+03","   1"
"10","sd_metabolite","1.52","1.51","0.0324","0.0321","(1.46, 1.57)","1.13e+04","2.93e+03","   1"
"11","sd_dilution","0.51","0.51","0.0112","0.011","(0.492, 0.529)","9.95e+03","2.71e+03","   1"
"12","sd_injection","0.283","0.283","0.00672","0.00685","(0.272, 0.294)","7.01e+03","2.88e+03","   1"
"13","sd_dilution_injection_interaction","0.232","0.232","0.00726","0.00729","(0.22, 0.244)","3.11e+03","3.09e+03","   1"
"14","sd_sigma_dilution","0.569","0.568","0.0141","0.0136","(0.546, 0.593)","5.81e+03","3.52e+03","   1"
"15","sd_sigma_injection","0.346","0.346","0.00963","0.00979","(0.331, 0.362)","4.65e+03","3.25e+03","   1"
"16","sd_sigma_dilution_injection_interaction","0.607","0.607","0.0156","0.0158","(0.582, 0.634)","4.65e+03","3.78e+03","   1"
"17","sd_log_sigma","0.621","0.621","0.0139","0.0138","(0.599, 0.645)","9.05e+03","3.11e+03","   1"
